transaction_id,customer_id,timestamp,amount,location,device,is_fraud
T_1000000,C_00461,2024-03-02 19:19:09.477624,207.86,Mumbai,Mobile,0
T_1000001,C_00606,2024-06-06 23:31:48.818296,85.01,Tokyo,Tablet,0
T_1000002,C_00891,2024-02-27 19:24:35.635279,145.27,Mumbai,Tablet,0
T_1000003,C_00749,2024-12-05 08:40:12.990839,123.86,Unknown,Tablet,0
T_1000004,C_00559,2024-03-02 06:39:26.155138,81.84,Unknown,Mobile,0
T_1000005,C_00160,2024-08-14 10:24:46.053090,295.93,Mumbai,Desktop,0
T_1000006,C_00113,2024-10-11 14:24:42.997272,64.66,Tokyo,Desktop,0
T_1000007,C_00736,2024-08-03 03:49:45.590090,279.8,London,Desktop,0
T_1000008,C_00701,2024-07-18 06:34:11.372727,298.31,London,Tablet,0
T_1000009,C_00505,2024-11-13 04:26:52.394360,129.74,New York,Mobile,0
T_1000010,C_00138,2024-01-20 16:21:57.401350,85.4,London,Mobile,0
T_1000011,C_00748,2024-05-30 16:50:10.757540,44.94,London,Tablet,0
T_1000012,C_00038,2024-10-18 17:21:36.457147,254.97,New York,Desktop,0
T_1000013,C_00573,2024-10-14 20:18:55.999617,58.48,Mumbai,Mobile,0
T_1000014,C_00583,2024-07-09 01:28:36.511378,11.94,Unknown,Tablet,0
T_1000015,C_00966,2024-08-28 14:59:33.032244,62.08,San Francisco,Mobile,0
T_1000016,C_00394,2024-04-27 20:39:53.397559,264.2,New York,Mobile,0
T_1000017,C_00704,2024-05-16 07:28:20.483142,167.39,New York,Desktop,0
T_1000018,C_00308,2024-02-14 06:29:58.455023,255.6,New York,Desktop,0
T_1000019,C_00210,2024-06-08 14:09:52.203137,149.19,New York,Mobile,0
T_1000020,C_00865,2024-12-04 07:27:05.976825,185.97,New York,Mobile,0
T_1000021,C_00787,2024-06-17 10:42:42.852697,32.18,London,Desktop,0
T_1000022,C_00059,2024-01-03 15:00:46.356596,20.74,Tokyo,Desktop,0
T_1000023,C_00168,2024-03-24 06:36:50.678811,143.12,New York,Desktop,0
T_1000024,C_00396,2024-07-22 22:39:43.386982,243.35,London,Desktop,0
T_1000025,C_00473,2024-04-01 21:23:23.690157,277.09,Unknown,Tablet,0
T_1000026,C_00581,2024-01-14 18:05:41.014620,30.08,San Francisco,Mobile,0
T_1000027,C_00046,2024-02-15 02:04:38.448774,210.88,New York,Emulator,1
T_1000028,C_00886,2024-11-24 20:15:58.150017,47.61,Tokyo,Desktop,0
T_1000029,C_00016,2024-04-08 21:29:58.728802,296.61,Tokyo,Mobile,0
T_1000030,C_00001,2024-07-01 07:35:15.042853,1220.2,Unknown,Desktop,1
T_1000031,C_00474,2024-02-13 04:03:39.484642,56.62,San Francisco,Mobile,0
T_1000032,C_00858,2024-09-23 15:01:30.464483,16.73,San Francisco,Mobile,0
T_1000033,C_00630,2024-11-19 07:33:02.815853,212.85,Mumbai,Desktop,0
T_1000034,C_00211,2024-10-26 18:19:48.741098,271.36,San Francisco,Tablet,0
T_1000035,C_00749,2024-10-05 05:23:18.589813,42.0,New York,Desktop,0
T_1000036,C_00480,2024-12-06 21:37:49.846720,248.03,London,Mobile,0
T_1000037,C_00915,2024-07-22 19:47:52.594151,183.72,Mumbai,Mobile,0
T_1000038,C_00968,2024-03-15 17:14:00.445609,158.8,Tokyo,Tablet,0
T_1000039,C_00100,2024-08-18 23:39:33.176339,220.77,Unknown,Tablet,0
T_1000040,C_00700,2024-02-19 23:20:55.400250,255.78,London,Mobile,0
